time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
335572000.00000	        0.10059	        0.00024	       -0.13315	        0.44881	       -0.01985	       -0.22395	        0.46338	       -0.02164	       -0.36883	        0.45975	        0.31842	       -0.22185	        0.48194	        0.32950	       -0.40318	        0.43643	        0.47930	       -0.29330	        0.43411	        0.72884	       -0.30186
335572000.00000	        0.10059	        0.00024	       -0.13315	        0.44881	       -0.01985	       -0.22395	        0.46338	       -0.02164	       -0.36883	        0.45975	        0.31842	       -0.22185	        0.48194	        0.32950	       -0.40318	        0.43643	        0.47930	       -0.29330	        0.43411	        0.72884	       -0.30186
335588000.00000	        0.10063	        0.00020	       -0.13313	        0.44884	       -0.01995	       -0.22396	        0.46337	       -0.02163	       -0.36883	        0.45983	        0.31844	       -0.22182	        0.48137	        0.32915	       -0.40298	        0.43625	        0.47927	       -0.29326	        0.43406	        0.72884	       -0.30192
335613000.00000	        0.10060	        0.00022	       -0.13315	        0.44908	       -0.01969	       -0.22400	        0.46331	       -0.02160	       -0.36880	        0.45978	        0.31841	       -0.22183	        0.48137	        0.32910	       -0.40306	        0.43635	        0.47923	       -0.29330	        0.43397	        0.72884	       -0.30187
335613000.00000	        0.10060	        0.00022	       -0.13315	        0.44908	       -0.01969	       -0.22400	        0.46331	       -0.02160	       -0.36880	        0.45978	        0.31841	       -0.22183	        0.48137	        0.32910	       -0.40306	        0.43635	        0.47923	       -0.29330	        0.43397	        0.72884	       -0.30187
335637000.00000	        0.10058	        0.00022	       -0.13317	        0.44888	       -0.01985	       -0.22397	        0.46331	       -0.02162	       -0.36883	        0.45987	        0.31835	       -0.22185	        0.48139	        0.32901	       -0.40338	        0.43612	        0.47918	       -0.29335	        0.43397	        0.72879	       -0.30188
335637000.00000	        0.10058	        0.00022	       -0.13317	        0.44888	       -0.01985	       -0.22397	        0.46331	       -0.02162	       -0.36883	        0.45987	        0.31835	       -0.22185	        0.48139	        0.32901	       -0.40338	        0.43612	        0.47918	       -0.29335	        0.43397	        0.72879	       -0.30188
335653000.00000	        0.10057	        0.00024	       -0.13317	        0.44886	       -0.01981	       -0.22397	        0.46326	       -0.02110	       -0.36930	        0.45985	        0.31838	       -0.22184	        0.48133	        0.32913	       -0.40294	        0.43616	        0.47932	       -0.29336	        0.43394	        0.72878	       -0.30195
335653000.00000	        0.10057	        0.00024	       -0.13317	        0.44886	       -0.01981	       -0.22397	        0.46326	       -0.02110	       -0.36930	        0.45985	        0.31838	       -0.22184	        0.48133	        0.32913	       -0.40294	        0.43616	        0.47932	       -0.29336	        0.43394	        0.72878	       -0.30195
335653000.00000	        0.10057	        0.00024	       -0.13317	        0.44886	       -0.01981	       -0.22397	        0.46326	       -0.02110	       -0.36930	        0.45985	        0.31838	       -0.22184	        0.48133	        0.32913	       -0.40294	        0.43616	        0.47932	       -0.29336	        0.43394	        0.72878	       -0.30195
335670000.00000	        0.10053	        0.00031	       -0.13317	        0.44884	       -0.01971	       -0.22403	        0.46334	       -0.02167	       -0.36884	        0.45981	        0.31840	       -0.22184	        0.48139	        0.32907	       -0.40306	        0.43634	        0.47932	       -0.29334	        0.43396	        0.72878	       -0.30190
335670000.00000	        0.10053	        0.00031	       -0.13317	        0.44884	       -0.01971	       -0.22403	        0.46334	       -0.02167	       -0.36884	        0.45981	        0.31840	       -0.22184	        0.48139	        0.32907	       -0.40306	        0.43634	        0.47932	       -0.29334	        0.43396	        0.72878	       -0.30190
335704000.00000	        0.10026	        0.00018	       -0.13327	        0.44913	       -0.01964	       -0.22398	        0.46335	       -0.02164	       -0.36882	        0.45978	        0.31840	       -0.22186	        0.48150	        0.32913	       -0.40323	        0.43622	        0.47928	       -0.29336	        0.43398	        0.72878	       -0.30187
335704000.00000	        0.10026	        0.00018	       -0.13327	        0.44913	       -0.01964	       -0.22398	        0.46335	       -0.02164	       -0.36882	        0.45978	        0.31840	       -0.22186	        0.48150	        0.32913	       -0.40323	        0.43622	        0.47928	       -0.29336	        0.43398	        0.72878	       -0.30187
335720000.00000	        0.10056	        0.00026	       -0.13316	        0.44886	       -0.01986	       -0.22395	        0.46334	       -0.02166	       -0.36883	        0.45979	        0.31841	       -0.22186	        0.48127	        0.32923	       -0.40289	        0.43628	        0.47935	       -0.29338	        0.43398	        0.72878	       -0.30191
335720000.00000	        0.10056	        0.00026	       -0.13316	        0.44886	       -0.01986	       -0.22395	        0.46334	       -0.02166	       -0.36883	        0.45979	        0.31841	       -0.22186	        0.48127	        0.32923	       -0.40289	        0.43628	        0.47935	       -0.29338	        0.43398	        0.72878	       -0.30191
335745000.00000	        0.10055	        0.00023	       -0.13318	        0.44880	       -0.01983	       -0.22395	        0.46331	       -0.02162	       -0.36881	        0.45978	        0.31842	       -0.22186	        0.48142	        0.32905	       -0.40322	        0.43639	        0.47937	       -0.29333	        0.43406	        0.72880	       -0.30191
335745000.00000	        0.10055	        0.00023	       -0.13318	        0.44880	       -0.01983	       -0.22395	        0.46331	       -0.02162	       -0.36881	        0.45978	        0.31842	       -0.22186	        0.48142	        0.32905	       -0.40322	        0.43639	        0.47937	       -0.29333	        0.43406	        0.72880	       -0.30191
335770000.00000	        0.10061	        0.00018	       -0.13316	        0.44884	       -0.01977	       -0.22397	        0.46335	       -0.02165	       -0.36882	        0.45975	        0.31845	       -0.22185	        0.48141	        0.32912	       -0.40298	        0.43622	        0.47925	       -0.29332	        0.43407	        0.72888	       -0.30187
335770000.00000	        0.10061	        0.00018	       -0.13316	        0.44884	       -0.01977	       -0.22397	        0.46335	       -0.02165	       -0.36882	        0.45975	        0.31845	       -0.22185	        0.48141	        0.32912	       -0.40298	        0.43622	        0.47925	       -0.29332	        0.43407	        0.72888	       -0.30187
