time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
1524460000.00000	        0.10042	        0.00018	       -0.15714	        0.45120	       -0.00240	       -0.22875	        0.46017	       -0.00018	       -0.36602	        0.46882	        0.29610	       -0.22885	        0.49292	        0.30430	       -0.40731	        0.45472	        0.45946	       -0.29786	        0.46714	        0.70812	       -0.30047
1524476000.00000	        0.10044	        0.00017	       -0.15712	        0.45120	       -0.00239	       -0.22875	        0.46030	       -0.00031	       -0.36601	        0.46880	        0.29609	       -0.22886	        0.49289	        0.30431	       -0.40731	        0.45469	        0.45952	       -0.29797	        0.46704	        0.70821	       -0.30041
1524502000.00000	        0.10045	        0.00016	       -0.15711	        0.45121	       -0.00243	       -0.22875	        0.46021	       -0.00028	       -0.36598	        0.46880	        0.29607	       -0.22884	        0.49297	        0.30427	       -0.40736	        0.45470	        0.45948	       -0.29799	        0.46708	        0.70820	       -0.30049
1524502000.00000	        0.10045	        0.00016	       -0.15711	        0.45121	       -0.00243	       -0.22875	        0.46021	       -0.00028	       -0.36598	        0.46880	        0.29607	       -0.22884	        0.49297	        0.30427	       -0.40736	        0.45470	        0.45948	       -0.29799	        0.46708	        0.70820	       -0.30049
1524502000.00000	        0.10045	        0.00016	       -0.15711	        0.45121	       -0.00243	       -0.22875	        0.46021	       -0.00028	       -0.36598	        0.46880	        0.29607	       -0.22884	        0.49297	        0.30427	       -0.40736	        0.45470	        0.45948	       -0.29799	        0.46708	        0.70820	       -0.30049
1524527000.00000	        0.10045	        0.00017	       -0.15711	        0.45123	       -0.00245	       -0.22875	        0.46028	       -0.00005	       -0.36608	        0.46882	        0.29607	       -0.22884	        0.49291	        0.30432	       -0.40737	        0.45470	        0.45946	       -0.29792	        0.46716	        0.70813	       -0.30040
1524551000.00000	        0.10046	        0.00014	       -0.15712	        0.45118	       -0.00240	       -0.22873	        0.46049	       -0.00043	       -0.36598	        0.46882	        0.29609	       -0.22884	        0.49293	        0.30426	       -0.40730	        0.45469	        0.45939	       -0.29795	        0.46711	        0.70818	       -0.30038
1524551000.00000	        0.10046	        0.00014	       -0.15712	        0.45118	       -0.00240	       -0.22873	        0.46049	       -0.00043	       -0.36598	        0.46882	        0.29609	       -0.22884	        0.49293	        0.30426	       -0.40730	        0.45469	        0.45939	       -0.29795	        0.46711	        0.70818	       -0.30038
1524551000.00000	        0.10046	        0.00014	       -0.15712	        0.45118	       -0.00240	       -0.22873	        0.46049	       -0.00043	       -0.36598	        0.46882	        0.29609	       -0.22884	        0.49293	        0.30426	       -0.40730	        0.45469	        0.45939	       -0.29795	        0.46711	        0.70818	       -0.30038
1524568000.00000	        0.10043	        0.00019	       -0.15712	        0.45122	       -0.00244	       -0.22874	        0.46027	       -0.00031	       -0.36601	        0.46890	        0.29603	       -0.22880	        0.49291	        0.30432	       -0.40731	        0.45482	        0.45930	       -0.29791	        0.46716	        0.70811	       -0.30044
1524568000.00000	        0.10043	        0.00019	       -0.15712	        0.45122	       -0.00244	       -0.22874	        0.46027	       -0.00031	       -0.36601	        0.46890	        0.29603	       -0.22880	        0.49291	        0.30432	       -0.40731	        0.45482	        0.45930	       -0.29791	        0.46716	        0.70811	       -0.30044
1524594000.00000	        0.10043	        0.00020	       -0.15711	        0.45118	       -0.00240	       -0.22874	        0.46049	       -0.00010	       -0.36611	        0.46882	        0.29607	       -0.22882	        0.49285	        0.30437	       -0.40730	        0.45467	        0.45948	       -0.29792	        0.46720	        0.70808	       -0.30042
1524594000.00000	        0.10043	        0.00020	       -0.15711	        0.45118	       -0.00240	       -0.22874	        0.46049	       -0.00010	       -0.36611	        0.46882	        0.29607	       -0.22882	        0.49285	        0.30437	       -0.40730	        0.45467	        0.45948	       -0.29792	        0.46720	        0.70808	       -0.30042
1524594000.00000	        0.10043	        0.00020	       -0.15711	        0.45118	       -0.00240	       -0.22874	        0.46049	       -0.00010	       -0.36611	        0.46882	        0.29607	       -0.22882	        0.49285	        0.30437	       -0.40730	        0.45467	        0.45948	       -0.29792	        0.46720	        0.70808	       -0.30042
1524619000.00000	        0.10045	        0.00015	       -0.15712	        0.45122	       -0.00244	       -0.22874	        0.46047	       -0.00042	       -0.36600	        0.46882	        0.29607	       -0.22882	        0.49293	        0.30428	       -0.40730	        0.45471	        0.45948	       -0.29791	        0.46714	        0.70808	       -0.30040
1524619000.00000	        0.10045	        0.00015	       -0.15712	        0.45122	       -0.00244	       -0.22874	        0.46047	       -0.00042	       -0.36600	        0.46882	        0.29607	       -0.22882	        0.49293	        0.30428	       -0.40730	        0.45471	        0.45948	       -0.29791	        0.46714	        0.70808	       -0.30040
1524643000.00000	        0.10045	        0.00018	       -0.15711	        0.45124	       -0.00245	       -0.22873	        0.46035	       -0.00018	       -0.36607	        0.46885	        0.29606	       -0.22880	        0.49296	        0.30427	       -0.40730	        0.45468	        0.45950	       -0.29796	        0.46718	        0.70813	       -0.30028
1524643000.00000	        0.10045	        0.00018	       -0.15711	        0.45124	       -0.00245	       -0.22873	        0.46035	       -0.00018	       -0.36607	        0.46885	        0.29606	       -0.22880	        0.49296	        0.30427	       -0.40730	        0.45468	        0.45950	       -0.29796	        0.46718	        0.70813	       -0.30028
1524651000.00000	        0.10045	        0.00016	       -0.15711	        0.45122	       -0.00244	       -0.22874	        0.46017	       -0.00032	       -0.36600	        0.46883	        0.29605	       -0.22881	        0.49291	        0.30428	       -0.40729	        0.45473	        0.45947	       -0.29765	        0.46726	        0.70805	       -0.30038
1524651000.00000	        0.10045	        0.00016	       -0.15711	        0.45122	       -0.00244	       -0.22874	        0.46017	       -0.00032	       -0.36600	        0.46883	        0.29605	       -0.22881	        0.49291	        0.30428	       -0.40729	        0.45473	        0.45947	       -0.29765	        0.46726	        0.70805	       -0.30038
1524686000.00000	        0.10044	        0.00018	       -0.15711	        0.45122	       -0.00243	       -0.22874	        0.46017	       -0.00027	       -0.36600	        0.46887	        0.29603	       -0.22880	        0.49298	        0.30427	       -0.40737	        0.45470	        0.45950	       -0.29791	        0.46720	        0.70811	       -0.30033
1524686000.00000	        0.10044	        0.00018	       -0.15711	        0.45122	       -0.00243	       -0.22874	        0.46017	       -0.00027	       -0.36600	        0.46887	        0.29603	       -0.22880	        0.49298	        0.30427	       -0.40737	        0.45470	        0.45950	       -0.29791	        0.46720	        0.70811	       -0.30033
1524711000.00000	        0.09997	        0.00000	       -0.15718	        0.45119	       -0.00242	       -0.22874	        0.46044	       -0.00025	       -0.36609	        0.46886	        0.29604	       -0.22882	        0.49292	        0.30432	       -0.40729	        0.45471	        0.45921	       -0.29802	        0.46723	        0.70808	       -0.30035
1524711000.00000	        0.09997	        0.00000	       -0.15718	        0.45119	       -0.00242	       -0.22874	        0.46044	       -0.00025	       -0.36609	        0.46886	        0.29604	       -0.22882	        0.49292	        0.30432	       -0.40729	        0.45471	        0.45921	       -0.29802	        0.46723	        0.70808	       -0.30035
1524735000.00000	        0.10046	        0.00013	       -0.15711	        0.45120	       -0.00240	       -0.22873	        0.46022	       -0.00009	       -0.36604	        0.46878	        0.29611	       -0.22882	        0.49293	        0.30428	       -0.40727	        0.45474	        0.45945	       -0.29780	        0.46724	        0.70808	       -0.30030
1524735000.00000	        0.10046	        0.00013	       -0.15711	        0.45120	       -0.00240	       -0.22873	        0.46022	       -0.00009	       -0.36604	        0.46878	        0.29611	       -0.22882	        0.49293	        0.30428	       -0.40727	        0.45474	        0.45945	       -0.29780	        0.46724	        0.70808	       -0.30030
1524751000.00000	        0.10043	        0.00019	       -0.15711	        0.45120	       -0.00241	       -0.22874	        0.46064	       -0.00042	       -0.36602	        0.46885	        0.29607	       -0.22881	        0.49297	        0.30428	       -0.40731	        0.45478	        0.45929	       -0.29795	        0.46725	        0.70808	       -0.30035
1524751000.00000	        0.10043	        0.00019	       -0.15711	        0.45120	       -0.00241	       -0.22874	        0.46064	       -0.00042	       -0.36602	        0.46885	        0.29607	       -0.22881	        0.49297	        0.30428	       -0.40731	        0.45478	        0.45929	       -0.29795	        0.46725	        0.70808	       -0.30035
1524751000.00000	        0.10043	        0.00019	       -0.15711	        0.45120	       -0.00241	       -0.22874	        0.46064	       -0.00042	       -0.36602	        0.46885	        0.29607	       -0.22881	        0.49297	        0.30428	       -0.40731	        0.45478	        0.45929	       -0.29795	        0.46725	        0.70808	       -0.30035
1524776000.00000	        0.10042	        0.00020	       -0.15710	        0.45125	       -0.00248	       -0.22875	        0.46030	       -0.00036	       -0.36600	        0.46885	        0.29603	       -0.22883	        0.49286	        0.30400	       -0.40757	        0.45472	        0.45960	       -0.29797	        0.46725	        0.70807	       -0.30038
1524776000.00000	        0.10042	        0.00020	       -0.15710	        0.45125	       -0.00248	       -0.22875	        0.46030	       -0.00036	       -0.36600	        0.46885	        0.29603	       -0.22883	        0.49286	        0.30400	       -0.40757	        0.45472	        0.45960	       -0.29797	        0.46725	        0.70807	       -0.30038
1524802000.00000	        0.10046	        0.00016	       -0.15710	        0.45122	       -0.00244	       -0.22873	        0.46053	       -0.00011	       -0.36612	        0.46882	        0.29607	       -0.22882	        0.49289	        0.30433	       -0.40730	        0.45483	        0.45934	       -0.29796	        0.46716	        0.70817	       -0.30031
1524802000.00000	        0.10046	        0.00016	       -0.15710	        0.45122	       -0.00244	       -0.22873	        0.46053	       -0.00011	       -0.36612	        0.46882	        0.29607	       -0.22882	        0.49289	        0.30433	       -0.40730	        0.45483	        0.45934	       -0.29796	        0.46716	        0.70817	       -0.30031
1524826000.00000	        0.10046	        0.00016	       -0.15711	        0.45121	       -0.00241	       -0.22873	        0.46022	       -0.00014	       -0.36602	        0.46886	        0.29605	       -0.22882	        0.49290	        0.30431	       -0.40728	        0.45459	        0.45942	       -0.29761	        0.46714	        0.70824	       -0.30036
1524826000.00000	        0.10046	        0.00016	       -0.15711	        0.45121	       -0.00241	       -0.22873	        0.46022	       -0.00014	       -0.36602	        0.46886	        0.29605	       -0.22882	        0.49290	        0.30431	       -0.40728	        0.45459	        0.45942	       -0.29761	        0.46714	        0.70824	       -0.30036
1524851000.00000	        0.09988	        0.00016	       -0.15730	        0.45123	       -0.00245	       -0.22873	        0.46046	       -0.00033	       -0.36605	        0.46883	        0.29605	       -0.22882	        0.49297	        0.30427	       -0.40732	        0.45525	        0.45922	       -0.29760	        0.46716	        0.70821	       -0.30039
1524851000.00000	        0.09988	        0.00016	       -0.15730	        0.45123	       -0.00245	       -0.22873	        0.46046	       -0.00033	       -0.36605	        0.46883	        0.29605	       -0.22882	        0.49297	        0.30427	       -0.40732	        0.45525	        0.45922	       -0.29760	        0.46716	        0.70821	       -0.30039
1524868000.00000	        0.10044	        0.00018	       -0.15711	        0.45122	       -0.00242	       -0.22874	        0.46029	       -0.00035	       -0.36602	        0.46886	        0.29606	       -0.22883	        0.49290	        0.30428	       -0.40730	        0.45475	        0.45952	       -0.29785	        0.46718	        0.70822	       -0.30039
1524868000.00000	        0.10044	        0.00018	       -0.15711	        0.45122	       -0.00242	       -0.22874	        0.46029	       -0.00035	       -0.36602	        0.46886	        0.29606	       -0.22883	        0.49290	        0.30428	       -0.40730	        0.45475	        0.45952	       -0.29785	        0.46718	        0.70822	       -0.30039
1524893000.00000	        0.10041	        0.00021	       -0.15712	        0.45119	       -0.00240	       -0.22874	        0.46036	       -0.00032	       -0.36594	        0.46887	        0.29603	       -0.22884	        0.49297	        0.30428	       -0.40732	        0.45476	        0.45949	       -0.29768	        0.46719	        0.70822	       -0.30041
1524893000.00000	        0.10041	        0.00021	       -0.15712	        0.45119	       -0.00240	       -0.22874	        0.46036	       -0.00032	       -0.36594	        0.46887	        0.29603	       -0.22884	        0.49297	        0.30428	       -0.40732	        0.45476	        0.45949	       -0.29768	        0.46719	        0.70822	       -0.30041
1524893000.00000	        0.10041	        0.00021	       -0.15712	        0.45119	       -0.00240	       -0.22874	        0.46036	       -0.00032	       -0.36594	        0.46887	        0.29603	       -0.22884	        0.49297	        0.30428	       -0.40732	        0.45476	        0.45949	       -0.29768	        0.46719	        0.70822	       -0.30041
1524918000.00000	        0.10042	        0.00019	       -0.15712	        0.45118	       -0.00238	       -0.22874	        0.46024	       -0.00032	       -0.36600	        0.46881	        0.29606	       -0.22885	        0.49290	        0.30431	       -0.40730	        0.45534	        0.45926	       -0.29741	        0.46721	        0.70817	       -0.30046
1524918000.00000	        0.10042	        0.00019	       -0.15712	        0.45118	       -0.00238	       -0.22874	        0.46024	       -0.00032	       -0.36600	        0.46881	        0.29606	       -0.22885	        0.49290	        0.30431	       -0.40730	        0.45534	        0.45926	       -0.29741	        0.46721	        0.70817	       -0.30046
1524934000.00000	        0.10042	        0.00019	       -0.15713	        0.45119	       -0.00241	       -0.22874	        0.46017	       -0.00032	       -0.36602	        0.46881	        0.29607	       -0.22885	        0.49298	        0.30426	       -0.40731	        0.45546	        0.45890	       -0.29779	        0.46722	        0.70821	       -0.30041
1524934000.00000	        0.10042	        0.00019	       -0.15713	        0.45119	       -0.00241	       -0.22874	        0.46017	       -0.00032	       -0.36602	        0.46881	        0.29607	       -0.22885	        0.49298	        0.30426	       -0.40731	        0.45546	        0.45890	       -0.29779	        0.46722	        0.70821	       -0.30041
